name,ring,quadrant,isNew,description
GFlowNet,观望,多模态,TRUE,由MILA、Meta研发，链接：https://arxiv.org/abs/2209.02606
CodeX,采用,其他,FALSE,由OpenAI研发，链接：https://www.pnas.org/doi/10.1073/pnas.2123433119
VPT,评估,其他,TRUE,由OpenAI等研发，链接：https://openai.com/blog/vpt/
Minerva,观望,其他,TRUE,由谷歌研发，链接：https://ai.googleblog.com/2022/06/minerva-solving-quantitative-reasoning.html
WavLM,评估,其他,TRUE,由微软亚洲研究院研发，链接：https://arxiv.org/pdf/2110.13900.pdf
Retro,观望,语言,FALSE,由DeepMind研发，链接：https://arxiv.org/pdf/2112.04426.pdf
Code as Policies,评估,其他,TRUE,由谷歌研发，链接：https://ai.googleblog.com/2022/11/robots-that-write-their-own-code.html
CodeRL,观望,其他,FALSE,由Salesforce研发，链接：https://arxiv.org/pdf/2207.01780v1.pdf
Jiuzhang,评估,其他,TRUE,由人民大学、中科大等研发，链接：https://arxiv.org/pdf/2206.06315.pdf
AlphaCode,评估,其他,TRUE,由DeepMind研发，链接：https://www.deepmind.com/blog/competitive-programming-with-alphacode
eDiffi,评估,多模态,TRUE,由英伟达研发，链接：https://deepimagination.cc/eDiffi/
CLIP H/14,评估,多模态,TRUE,由Laion研发，链接：https://laion.ai/blog/large-openclip/
T-ULRv6,评估,语言,TRUE,"由微软亚洲研究院研发，链接：https://blogs.bing.com/search-quality-insights/october-2022/Microsoft-Turing-Universal-Language-Representation-model,-T-ULRv6,-tops-both-XTREME-and-GLUE-leaderb"
AltDiffution,评估,多模态,TRUE,由智源研发，链接：https://mp.weixin.qq.com/s/mQ0CcTlkrMalZhPSMg4K4Q
AltCLIP,评估,语言,TRUE,由智源研发，链接：https://mp.weixin.qq.com/s/mQ0CcTlkrMalZhPSMg4K4Q
AltDiffusion-M,评估,多模态,TRUE,由智源研发，链接：https://mp.weixin.qq.com/s/mQ0CcTlkrMalZhPSMg4K4Q
